category	paragraph_1	paragraph_2	len_pargraph_1	is_plagiarism	plagiarism_type	cleaned_paragraph_1	cleaned_paragraph_2
chemistry	Peluruhan alfa, terjadi ketika suatu inti memancarkan partikel alfa (inti helium yang terdiri dari dua proton dan dua neutron). Hasil peluruhan ini adalah unsur baru dengan nomor atom yang lebih kecil.	Peluruhan alfa berjalan ketika satu poin mengucurkan komponen alfa ( inti helium yang terdiri semenjak dua proton dan dobel neutron ) Hasil peluruhan ini ialah unsur anyar sambil angka partikel yang lebih renik 	2	True	structural change	peluruh alfa inti pancar partikel alfa inti helium proton neutron hasil peluruh unsur nomor	peluruh alfa jalan poin kucur komponen alfa inti helium semenjak proton dobel neutron hasil peluruh unsur anyar angka partikel renik
biology	G. Rosen: Forum Nasional tentang Biodiversitas ..	G. Rosen: Forum Nasional tentang Keanekaragaman Hayati ... 	2	True	paraphrase	g rosen forum nasional biodiversitas	g rosen forum nasional 
environment	Para ilmuwan telah mempelajari pemanasan global berdasarkan model-model computer berdasarkan prinsip-prinsip dasar dinamika fluida, transfer radiasi, dan proses-proses lainya, dengan beberapa penyederhanaan disebabkan keterbatasan kemampuan komputer. Model-model ini memprediksikan bahwa penambahan gas-gas rumah kaca berefek pada iklim yang lebih hangat. Walaupun digunakan asumsi-asumsi yang sama terhadap konsentrasi gas rumah kaca pada masa depan, sensitivitas iklimnya masih akan berada pada suatu rentang tertentu.	Para ilmuwan telah mempelajari pemanasan global berdasarkan model-model computer berdasarkan prinsip-prinsip dasar dinamika fluida, transfer radiasi, dan proses-proses lainya, dengan beberapa penyederhanaan disebabkan keterbatasan kemampuan komputer. Model-model ini memprediksikan bahwa penambahan gas-gas rumah kaca berefek pada iklim yang lebih hangat. Walaupun digunakan asumsi-asumsi yang sama terhadap konsentrasi gas rumah kaca pada masa depan, sensitivitas iklimnya masih akan berada pada suatu rentang tertentu.	3	True	literal	ilmuwan ajar panas global dasar model computer dasar prinsip dasar dinamika fluida transfer radiasi proses lai sederhana batas komputer model prediksi gas kaca efek iklim hangat asumsi konsentrasi gas kaca sensitivitas iklim rentang	ilmuwan ajar panas global dasar model computer dasar prinsip dasar dinamika fluida transfer radiasi proses lai sederhana batas komputer model prediksi gas kaca efek iklim hangat asumsi konsentrasi gas kaca sensitivitas iklim rentang
environment	Dalam laporan yang dikeluarkannya tahun 2001, Intergovernmental Panel on Climate Change (IPCC) menyimpulkan bahwa suhu udara global telah meningkat 0,6 derajat Celsius (1 derajat Fahrenheit) sejak 1861. Panel setuju bahwa pemanasan tersebut terutama disebabkan oleh aktivitas manusia yang menambah gas-gas rumah kaca ke atmosfer. IPCC memprediksi peningkatan suhu rata-rata global akan meningkat 1.1 hingga 6.4 °C (2.0 hingga 11.5 °F) antara tahun 1990 dan 2100.	Dalam laporan yang dirilis pada tahun 2001, panel antar pemerintah tentang perubahan iklim (IPCC) menyimpulkan bahwa suhu udara global telah meningkat sebesar 0,6 derajat Celcius (1 derajat Fahrenheit) sejak 1861. Panel sepakat bahwa pemanasan itu terutama disebabkan oleh aktivitas manusia yang ditambahkan Greenhouses gas gas ke atmosfer. IPCC memprediksi peningkatan suhu rata-rata global akan meningkat 1,1 hingga 6.4 ° C (2,0 hingga 11,5 ° F) antara tahun 1990 dan 2100. 	3	True	paraphrase	lapor 2001 intergovernmental panel on climate change ipcc simpul suhu udara global tingkat 0 6 derajat celsius 1 derajat fahrenheit 1861 panel tuju panas aktivitas manusia gas kaca atmosfer ipcc prediksi tingkat suhu global tingkat 1 1 6 4 c 2 0 11 5 f 1990 2100	lapor rilis 2001 panel perintah ubah iklim ipcc simpul suhu udara global tingkat 0 6 derajat celcius 1 derajat fahrenheit 1861 panel sepakat panas aktivitas manusia greenhouses gas gas atmosfer ipcc prediksi tingkat suhu global tingkat 1 1 6 4 c 2 0 11 5 f 1990 2100 
technology	Para awaknya berjumlah sekitar 900 orang; secara keseluruhan, kapal ini dapat menampung 3.339 orang. Desain interiornya jauh berbeda dari kapal-kapal penumpang lainnya, yang umumnya didekorasi dengan gaya rumah puri atau rumah pedesaan Inggris	Para awaknya berjumlah sekitar 900 orang; secara keseluruhan, kapal ini dapat menampung 3.339 orang. Desain interiornya jauh berbeda dari kapal-kapal penumpang lainnya, yang umumnya didekorasi dengan gaya rumah puri atau rumah pedesaan Inggris	2	True	literal	awak 900 orang tampung 3 339 orang desain interior beda dekorasi gaya puri desa inggris	awak 900 orang tampung 3 339 orang desain interior beda dekorasi gaya puri desa inggris
environment	Hasil pengukurannya menunjukkan terjadi peningkatan konsentrasi karbon dioksida di atmosfer. Setelah itu, komposisi dari atmosfer terus diukur dengan cermat. Data-data yang dikumpulkan menunjukkan bahwa memang terjadi peningkatan konsentrasi dari gas-gas rumah kaca di atmosfer.	Banyak kegiatan dalam keluarga yang ramah lingkungan. Misalnya menghemat air, mandi menggunakan air dari shower daripada bath tub atau bak mandi, mematikan lampu dan peralatan lain yang tidak dipakai, menggunakan peralatan elektronik yang ramah lingkungan (non-CFC, hemat energi), memilih popok kain daripada yang sekali pakai, menggunakan kembali kresek plastik, meminimalisir penggunaan plastik terutama saat membeli barang, dll	3	False	non-plagiarism	hasil ukur tingkat konsentrasi dioksida atmosfer komposisi atmosfer ukur cermat data kumpul tingkat konsentrasi gas kaca atmosfer	giat keluarga ramah lingkung hemat mandi shower bath tub bak mandi mati lampu alat pakai alat elektronik ramah lingkung non-cfc hemat pilih popok kain pakai kresek plastik meminimalisir plastik beli barang dll
biology	Mereka tersebar dari Alaska hingga Kosta Rika, namun biasanya dapat dilihat di California pada musim panas. Kadang-kadang populasi ini mengunjungi Pasifik barat laut, di antara Semenanjung Kamchatka dan ujung utara Jepang	Mereka terpencar dari Alaska batas Kosta Rika akan tetapi biasanya becus  dilihat pada California cak  ala tahun panas Kadang-kadang komunitas ini mengunjungi Pasifik barat laut dalam antara Semenanjung Kamchatka bersama penghujung lor Jepang	2	True	structural change	sebar alaska kosta rika california musim panas kadang populasi unjung pasifik barat semenanjung kamchatka ujung utara jepang	pencar alaska batas kosta rika becus california cak ala panas kadang komunitas unjung pasifik barat semenanjung kamchatka hujung lor jepang
chemistry	2 H. Dalam konteks reaksi asam-basa, singatan HAc sering digunakan, dengan Ac merupakan singkatan dari asetat. Asetat adalah ion yang dihasilkan dari lepasnya H+ dari asam asetat. Nama asetat dapat pula merujuk pada garam yang mengandung anion ini, atau suatu ester dari asam asetat.	2.  H. In  konteks reaksi asam-basa, singatan HAc sering digunakan, with  Ac merupakan singkatan from  asetat. Acetate  adalah ion yang dihasilkan dari lepasnya H+ from  asam asetat. Name  asetat dapat pula merujuk pada garam yang contain  anion ini, atau something  ester dari asam acetate.	4	True	translated	2 h konteks reaksi asam-basa singatan hac ac singkat ion hasil lepas h nama rujuk garam kandung anion ester	2 h in konteks reaksi asam-basa singatan hac with ac singkat from acetate ion hasil lepas h from name rujuk garam contain anion something ester acetate
technology	Salah satu dari algoritme sederhana adalah menemukan bilangan terbesar dalam sebuah deretan angka (tak berurut). Solusinya membutuhkan pemeriksaan setiap angka dalam deret, tetapi hanya sekali. Dari hal ini munculah algoritme sederhana, yang bisa dinyatakan dalam kalimat bahasa deskripsi tingkat-tinggi, sebagai:	"""Alan Turing memperkenalkan """"Turing test"""" sebagai sebuah cara untuk mengoperasionalkan test perilaku cerdas. Joseph Weizenbaum membangun ELIZA, sebuah chatterbot yang menerapkan psikoterapi Rogerian."""	3	False	non-plagiarism	salah sederhana temu bilang deret angka urut solusi butuh periksa angka deret munculah sederhana nyata kalimat bahasa deskripsi tingkat-tinggi	alan turing kenal turing test operasional test perilaku cerdas joseph weizenbaum bangun eliza chatterbot terap psikoterapi rogerian
history	“Jenderal Pranoto, yang setelah Gestapu diangkat Sukarno jadi KASAD. Orangnya sih baik sekali, lembut, HIK Muhammadiyah dulu sekolahnya, suka gesek biola, memahat patung,” tulis Mochtar Lubis dalam catatan hariannya tanggal 6 Februari 1975.	Beberapa saat kemudian, sang komandan sudah kembali. Menurut penyidikan yang sudah dilakukannya, ternyata pot itu pecah karena terkena cakram. Bung Karno nampak terkejut mendengar laporan tersebut. Dia pastinya tahu bahwa satu-satunya orang yang memiliki hobi main lempar cakram adalah putera sulungnya.	2	False	non-plagiarism	jenderal gestapu angkat sukarno kasad orang sih lembut hik muhammadiyah sekolah suka gesek biola pahat patung tulis mochtar lubis catat tanggal 6 februari 1975	sang komandan sidi laku pot pecah kena cakram karno nampak kejut dengar lapor orang milik hobi main lempar cakram putera sulung
environment	Eksploitasi terhadap energi fosil mengakibatkan ketidakseimbangan lingkungan. Lama-lama cadangan energi bisa habis	Menurut beberapa kritikus, pembacaan atmosfer tersebut benar, sedangkan pengukuran atmosfer dari permukaan Bumi tidak dapat dipercaya. Pada bulan Januari 2000, sebuah panel yang ditunjuk oleh National Academy of Sciences untuk membahas masalah ini mengakui bahwa pemanasan permukaan Bumi tidak dapat diragukan lagi	2	False	non-plagiarism	eksploitasi fosil akibat ketidakseimbangan lingkung cadang habis	kritikus baca atmosfer ukur atmosfer muka bumi percaya januari 2000 panel national academy of sciences bahas panas muka bumi ragu
technology	Algoritme tersebut termasuk pencarian lokal, pencarian tabu, simulasi pelunakan, dan algoritme genetik. Beberapa dari mereka, seperti simuasi pelunakan, adalah algoritme non-deterministik sementara yang lainnya, seperti pencarian tabu, adalah deterministik	Algoritma ini mencakup pencarian lokal, pencarian tabu, simulasi pelunakan, dan algoritma genetik. Beberapa dari mereka, seperti simuasi pelunakan, adalah algoritma non-deterministik sementara yang lain, seperti pencarian tabu, adalah deterministik 	2	True	paraphrase	cari lokal cari tabu simulasi lunak genetik simuasi lunak non-deterministik cari tabu deterministik	algoritma cakup cari lokal cari tabu simulasi lunak algoritma genetik simuasi lunak algoritma non-deterministik cari tabu deterministik
technology	Fasilitas kenyamanan disediakan untuk ketiga kelas untuk menghabiskan waktu. Selain memanfaatkan fasilitas dalam ruangan seperti perpustakaan, ruang cerutu dan gimnasium, penumpang juga perlu bersosialisasi di dek terbuka, jalan-jalan atau menenangkan diri di kursi dek atau kursi kayu. Sebuah daftar penumpang diterbitkan sebelum pelayaran untuk menginformasikan kepada publik mana saja anggota keluarga berpengaruh yang naik kapal, dan sudah umum bagi ibu-ibu yang ambisius untuk memanfaatkan daftar ini untuk mengenali orang-orang kaya yang dapat diperkenalkan kepada anaknya sepanjang pelayaran.	Titanic memiliki 16 set derek kapal, masing-masing mampu menangani 4 sekoci. Ini memberikan Titanic kemampuan untuk mengangkut 64 sekoci kayu yang muat untuk 4.000 orang – melebihi kapasitas kapal aslinya	3	False	non-plagiarism	fasilitas nyaman sedia habis manfaat fasilitas ruang pustaka ruang cerutu gimnasium sosial dek buka jalan tenang kursi dek kursi kayu daftar terbit layar informasi publik anggota keluarga pengaruh ambisius manfaat daftar nali orang kaya kenal anak layar	milik 16 set derek tangan 4 sekoci angkut 64 sekoci kayu muat 4 000 orang kapasitas asli
geography	Isolasi geografis merupakan batas alam yang tidak bisa dilewati, maka suatu populasi tidak akan pernah bertemu dengan populasi lain, sehingga perkawinan secara alamiah tidak dapat terjadi. Seberapa kuat sawar geografis yang diperlukan untuk mempertahankan populasi alopatrik tetap terpisah satu sama lain tergantung pada kemampuan organisme itu untuk menyebar	Biogeografi juga mempelajari hubungan yang mempengaruhi spesies dan takson yang ditemukan pada masa sekarang. Biogeografi dibagi menjadi kawasan dan sub-kawasan dengan mengacu kepada tingkat intervensi manusia	2	False	non-plagiarism	isolasi geografis batas alam populasi temu populasi kawin alamiah kuat sawar geografis tahan populasi alopatrik pisah gantung organisme sebar	biogeografi ajar hubung pengaruh takson temu biogeografi kawasan sub-kawasan acu tingkat intervensi manusia
biology	Paus biru sulit ditimbang karena ukurannya yang besar. Seperti sebagian besar paus yang diburu, paus biru dewasa belum pernah ditimbang secara keseluruhan, tetapi dipotong-potong terlebih dahulu, sehingga perkiraan massa paus menjadi terlalu rendah akibat ketiadaan darah dan cairan lain	Seperti sebagian besar paus yang diburu, paus biru dewasa belum pernah ditimbang secara keseluruhan, tetapi dipotong-potong terlebih dahulu, sehingga perkiraan massa paus menjadi terlalu rendah akibat ketiadaan darah dan cairan lain	2	True	partial literal	sulit timbang ukur buru dewasa timbang potong massa rendah akibat tiada darah cair	buru dewasa timbang potong massa rendah akibat tiada darah cair
technology	P. Morgan, pemilik sejati Titanic.	Algoritme tersebut termasuk pencarian lokal, pencarian tabu, simulasi pelunakan, dan algoritme genetik. Beberapa dari mereka, seperti simuasi pelunakan, adalah algoritme non-deterministik sementara yang lainnya, seperti pencarian tabu, adalah deterministik	2	False	non-plagiarism	p morgan milik sejati	cari lokal cari tabu simulasi lunak genetik simuasi lunak non-deterministik cari tabu deterministik
environment	Pekerjan yang lagsung berhubungan dengan EBT adalah yang terlibat dalam proses manufaktur, konstruksi, pengoperasian, dan perawatan. Pekerjaan yang tidak langsung berhubungan dengan EBT adalah kegiatan yang mendukung barang-barang dan pelayanan seperti hukum, arsitek, geologist, servis peralatan, bisnis manajemen, satpam, dll	Para pekerja yang berhubungan dengan EBT terlibat dalam proses pembuatan, konstruksi, operasi dan pemeliharaan. Pekerjaan tidak langsung yang terkait dengan EBT adalah kegiatan yang mendukung barang dan jasa seperti hukum, arsitek, ahli geologi, peralatan layanan, manajemen bisnis, penjaga keamanan, dll. 	2	True	paraphrase	pekerjan lagsung hubung ebt libat proses manufaktur konstruksi operasi awat kerja langsung hubung ebt giat dukung barang layan hukum arsitek geologist servis alat bisnis manajemen satpam dll	kerja hubung ebt libat proses konstruksi operasi pelihara kerja langsung kait ebt giat dukung barang jasa hukum arsitek ahli geologi alat layan manajemen bisnis jaga aman dll 
biology	"""Maka anak tadi akan memiliki fenotip """"rambut warna cokelat"""" dengan genotip Bb yang terdiri dari satu alel B dan satu alel b. (perhatikan pula bahwa alel yang dominan biasanya ditulis diawal)."""	Pada tahun 1984, Wilcox kembali mendefisikan keanekaragaman hayati secara genetis sebagai keanekaragaman alel, gen, dan organisme, yang mempelajari proses seperti mutasi dan transfer gen yang mendorong terjadinya evolusi.	2	False	non-plagiarism	anak milik fenotip rambut warna cokelat genotip bb alel b alel b perhati alel dominan tulis	1984 wilcox mendefisikan genetis alel gen organisme ajar proses mutasi transfer gen dorong evolusi
technology	Insiden ini menunda keberangkatan Titanic selama satu jam, sementara New York yang hanyut berhasil dikendalikan.	Pengurutan dapat dilakukan disetiap segmen data setelah membagi data menjadi segmen-segmen dan urutan seluruh data bisa didapat pada fase takluk dengan menggabungkan segmen-segmen. Variasi sederhana dari bagi-dan-takluk disebut algoritme kurang dan takluk, yang menyelesaikan sub-masalah yang sama dan menggunakan solusi dari sub-masalah tersebut untuk menyelesaikan masalah yang lebih besar	1	False	non-plagiarism	insiden tunda berangkat jam new york hanyut hasil kendali	urut segmen data data segmen urut data fase takluk gabung segmen variasi sederhana bagi-dan-takluk takluk selesai sub-masalah solusi sub-masalah selesai
biology	Karena tingkat kepunahan meningkat, banyak spesies yang masih ada dapat punah sebelum dideskripsikan. Tidak mengherankan, pada filum hewan, kelompok yang paling banyak dipelajari adalah burung dan mamalia, sedangkan ikan dan artropoda adalah kelompok hewan yang paling sedikit dipelajari.	Teori evolusi diterima oleh komunitas ilmiah secara meluas. Ia merupakan garis penghubung berbagai cabang bidang biologi	2	False	non-plagiarism	tingkat punah tingkat punah deskripsi heran filum hewan kelompok ajar burung mamalia ikan artropoda kelompok hewan ajar	teori evolusi terima komunitas ilmiah luas garis hubung cabang bidang biologi
chemistry	Emil Fischer, yang mempelajari kimia protein, dan F. Gowland Hopkins, yang mempelajari enzim dan sifat dinamis biokimia, mewakili dua contoh ahli biokimia awal.	Gowland Hopkins, yang mempelajari enzim dan sifat dinamis biokimia, mewakili dua contoh ahli biokimia awal.	2	True	partial literal	emil fischer ajar kimia protein f gowland hopkins ajar enzim sifat dinamis biokimia wakil contoh ahli biokimia	gowland hopkins ajar enzim sifat dinamis biokimia wakil contoh ahli biokimia
biology	Model hiperbolik menyiratkan umpan balik positif tingkat kedua. Perbedaan dalam kekuatan umpan balik tingkat kedua akibat intensitas persaingan antarspesies mungkin menjelaskan rediversifikasi Ammonoidea yang lebih cepat dibandingkan dengan Bivalvia setelah kepunahan Permian akhir	Monosakarida dengan tiga atom karbon disebut triosa, jika atom karbonnya empat disebut tetrosa, lima disebut pentosa, enam disebut heksosa, dan seterusnya. Contoh monosakarida adalah glukosa, fruktosa, galaktosa, ribosa, dan deoksiribosa	2	False	non-plagiarism	model hiperbolik sirat umpan positif tingkat beda kuat umpan tingkat akibat intensitas saing antarspesies rediversifikasi ammonoidea cepat banding bivalvia punah mi	monosakarida triosa tetrosa pentosa enam heksosa contoh monosakarida glukosa fruktosa galaktosa ribosa deoksiribosa
chemistry	Lipid merupakan bagian integral dari makanan sehari-hari. Sebagian besar minyak dan produk susu yang digunakan untuk memasak dan makan seperti mentega, keju, minyak samin, dan semacamnya terdiri dari lemak	Lipid merupakan bagian integral dari makanan sehari-hari. Sebagian besar minyak dan produk susu yang digunakan untuk memasak dan makan seperti mentega, keju, minyak samin, dan semacamnya terdiri dari lemak	2	True	literal	lipid integral makan minyak produk susu masak makan mentega keju minyak samin lemak	lipid integral makan minyak produk susu masak makan mentega keju minyak samin lemak
history	Di ruang makan hotel, Subardjo berkenalan dengan seorang perwakilan dari Syria, Amir Shakib Arsalan. Amir adalah seorang sarjana muslim tekemuka yang becita-cita menghidupkan kembali kebangkitan Islam	Di ruang makan hotel, Subardjo berkenalan dengan perwakilan dari Suriah, Amir Shakib Arselan. Amir adalah Sarjana Muslim Tekemuka yang berusaha untuk menghidupkan kembali munculnya Islam 	2	True	paraphrase	ruang makan hotel subardjo nal wakil syria amir shakib arsalan amir sarjana muslim tekemuka becita-cita hidup bangkit islam	ruang makan hotel subardjo nal wakil suriah amir shakib arselan amir sarjana muslim tekemuka usaha hidup muncul islam
